artifact_contract_version,artifact_validation_path,artifact_validation_status,benchmark_manifest_path,blocks,compatibility_hash,config_path,dataset_root,dataset_size,dataset_slug,elapsed_seconds,frozen_split_manifest_path,generation_seconds,recipe_id,recipe_label,reserved_gap_frames,split_counts,split_mode,status,temporal_gap,source
joint_graph2mat_deeph_artifact_contract_v1,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_20_50_80/graphene_5x5_scale_iid20/artifact_validation.json,valid,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_20_50_80/graphene_5x5_scale_iid20/benchmark_dataset_manifest.json,"[{""block_id"": ""graphene_5x5_scale_iid20_T150_4_1"", ""label"": ""4 snapshots @ 150 K"", ""n_snapshots"": 4, ""seed"": 150020, ""temperature_K"": 150}, {""block_id"": ""graphene_5x5_scale_iid20_T300_12_2"", ""label"": ""12 snapshots @ 300 K"", ""n_snapshots"": 12, ""seed"": 300020, ""temperature_K"": 300}, {""block_id"": ""graphene_5x5_scale_iid20_T450_4_3"", ""label"": ""4 snapshots @ 450 K"", ""n_snapshots"": 4, ""seed"": 450020, ""temperature_K"": 450}]",graphene_5x5_iid20,,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_20_50_80/graphene_5x5_scale_iid20,20,graphene_5x5_scale_iid20,0.0,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_20_50_80/graphene_5x5_scale_iid20/frozen_split_manifest.json,0.0,graphene_5x5_scale_iid20,Graphene 5x5 IID scale: 20 snapshots,2,"{""test"": 2, ""train"": 14, ""validation"": 2}",blocked_with_gap,benchmark_ready,1,existing_5x5_dataset
joint_graph2mat_deeph_artifact_contract_v1,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_complete_paper_ready_missing/graphene_5x5_scale_iid30/artifact_validation.json,valid,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_complete_paper_ready_missing/graphene_5x5_scale_iid30/benchmark_dataset_manifest.json,"[{""block_id"": ""graphene_5x5_scale_iid30_T150_6_1"", ""label"": ""6 snapshots @ 150 K"", ""n_snapshots"": 6, ""seed"": 150030, ""temperature_K"": 150}, {""block_id"": ""graphene_5x5_scale_iid30_T300_18_2"", ""label"": ""18 snapshots @ 300 K"", ""n_snapshots"": 18, ""seed"": 300030, ""temperature_K"": 300}, {""block_id"": ""graphene_5x5_scale_iid30_T450_6_3"", ""label"": ""6 snapshots @ 450 K"", ""n_snapshots"": 6, ""seed"": 450030, ""temperature_K"": 450}]",graphene_5x5_iid30,,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_complete_paper_ready_missing/graphene_5x5_scale_iid30,30,graphene_5x5_scale_iid30,0.0,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_complete_paper_ready_missing/graphene_5x5_scale_iid30/frozen_split_manifest.json,0.0,graphene_5x5_scale_iid30,Graphene 5x5 IID scale: 30 snapshots,2,"{""test"": 3, ""train"": 22, ""validation"": 3}",blocked_with_gap,benchmark_ready,1,generated_by_missing_payload
joint_graph2mat_deeph_artifact_contract_v1,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_20_50_80/graphene_5x5_scale_iid50/artifact_validation.json,valid,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_20_50_80/graphene_5x5_scale_iid50/benchmark_dataset_manifest.json,"[{""block_id"": ""graphene_5x5_scale_iid50_T150_10_1"", ""label"": ""10 snapshots @ 150 K"", ""n_snapshots"": 10, ""seed"": 150050, ""temperature_K"": 150}, {""block_id"": ""graphene_5x5_scale_iid50_T300_30_2"", ""label"": ""30 snapshots @ 300 K"", ""n_snapshots"": 30, ""seed"": 300050, ""temperature_K"": 300}, {""block_id"": ""graphene_5x5_scale_iid50_T450_10_3"", ""label"": ""10 snapshots @ 450 K"", ""n_snapshots"": 10, ""seed"": 450050, ""temperature_K"": 450}]",graphene_5x5_iid50,,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_20_50_80/graphene_5x5_scale_iid50,50,graphene_5x5_scale_iid50,0.0,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_20_50_80/graphene_5x5_scale_iid50/frozen_split_manifest.json,0.0,graphene_5x5_scale_iid50,Graphene 5x5 IID scale: 50 snapshots,2,"{""test"": 5, ""train"": 38, ""validation"": 5}",blocked_with_gap,benchmark_ready,1,existing_5x5_dataset
joint_graph2mat_deeph_artifact_contract_v1,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_complete_paper_ready_missing/graphene_5x5_scale_iid60/artifact_validation.json,valid,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_complete_paper_ready_missing/graphene_5x5_scale_iid60/benchmark_dataset_manifest.json,"[{""block_id"": ""graphene_5x5_scale_iid60_T150_12_1"", ""label"": ""12 snapshots @ 150 K"", ""n_snapshots"": 12, ""seed"": 150060, ""temperature_K"": 150}, {""block_id"": ""graphene_5x5_scale_iid60_T300_36_2"", ""label"": ""36 snapshots @ 300 K"", ""n_snapshots"": 36, ""seed"": 300060, ""temperature_K"": 300}, {""block_id"": ""graphene_5x5_scale_iid60_T450_12_3"", ""label"": ""12 snapshots @ 450 K"", ""n_snapshots"": 12, ""seed"": 450060, ""temperature_K"": 450}]",graphene_5x5_iid60,,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_complete_paper_ready_missing/graphene_5x5_scale_iid60,60,graphene_5x5_scale_iid60,0.0,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_complete_paper_ready_missing/graphene_5x5_scale_iid60/frozen_split_manifest.json,0.0,graphene_5x5_scale_iid60,Graphene 5x5 IID scale: 60 snapshots,2,"{""test"": 6, ""train"": 46, ""validation"": 6}",blocked_with_gap,benchmark_ready,1,generated_by_missing_payload
joint_graph2mat_deeph_artifact_contract_v1,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_20_50_80/graphene_5x5_scale_iid80/artifact_validation.json,valid,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_20_50_80/graphene_5x5_scale_iid80/benchmark_dataset_manifest.json,"[{""block_id"": ""graphene_5x5_scale_iid80_T150_16_1"", ""label"": ""16 snapshots @ 150 K"", ""n_snapshots"": 16, ""seed"": 150080, ""temperature_K"": 150}, {""block_id"": ""graphene_5x5_scale_iid80_T300_48_2"", ""label"": ""48 snapshots @ 300 K"", ""n_snapshots"": 48, ""seed"": 300080, ""temperature_K"": 300}, {""block_id"": ""graphene_5x5_scale_iid80_T450_16_3"", ""label"": ""16 snapshots @ 450 K"", ""n_snapshots"": 16, ""seed"": 450080, ""temperature_K"": 450}]",graphene_5x5_iid80,,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_20_50_80/graphene_5x5_scale_iid80,80,graphene_5x5_scale_iid80,0.0,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_20_50_80/graphene_5x5_scale_iid80/frozen_split_manifest.json,0.0,graphene_5x5_scale_iid80,Graphene 5x5 IID scale: 80 snapshots,2,"{""test"": 8, ""train"": 62, ""validation"": 8}",blocked_with_gap,benchmark_ready,1,existing_5x5_dataset
joint_graph2mat_deeph_artifact_contract_v1,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_complete_paper_ready_missing/graphene_5x5_scale_iid90/artifact_validation.json,valid,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_complete_paper_ready_missing/graphene_5x5_scale_iid90/benchmark_dataset_manifest.json,"[{""block_id"": ""graphene_5x5_scale_iid90_T150_18_1"", ""label"": ""18 snapshots @ 150 K"", ""n_snapshots"": 18, ""seed"": 150090, ""temperature_K"": 150}, {""block_id"": ""graphene_5x5_scale_iid90_T300_54_2"", ""label"": ""54 snapshots @ 300 K"", ""n_snapshots"": 54, ""seed"": 300090, ""temperature_K"": 300}, {""block_id"": ""graphene_5x5_scale_iid90_T450_18_3"", ""label"": ""18 snapshots @ 450 K"", ""n_snapshots"": 18, ""seed"": 450090, ""temperature_K"": 450}]",graphene_5x5_iid90,,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_complete_paper_ready_missing/graphene_5x5_scale_iid90,90,graphene_5x5_scale_iid90,0.0,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_complete_paper_ready_missing/graphene_5x5_scale_iid90/frozen_split_manifest.json,0.0,graphene_5x5_scale_iid90,Graphene 5x5 IID scale: 90 snapshots,2,"{""test"": 9, ""train"": 70, ""validation"": 9}",blocked_with_gap,benchmark_ready,1,generated_by_missing_payload
joint_graph2mat_deeph_artifact_contract_v1,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_100_500_mixing/graphene_5x5_scale_iid100/artifact_validation.json,valid,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_100_500_mixing/graphene_5x5_scale_iid100/benchmark_dataset_manifest.json,"[{""block_id"": ""graphene_5x5_scale_iid100_T150_20_1"", ""label"": ""20 snapshots @ 150 K"", ""n_snapshots"": 20, ""seed"": 150100, ""temperature_K"": 150}, {""block_id"": ""graphene_5x5_scale_iid100_T300_60_2"", ""label"": ""60 snapshots @ 300 K"", ""n_snapshots"": 60, ""seed"": 300100, ""temperature_K"": 300}, {""block_id"": ""graphene_5x5_scale_iid100_T450_20_3"", ""label"": ""20 snapshots @ 450 K"", ""n_snapshots"": 20, ""seed"": 450100, ""temperature_K"": 450}]",graphene_5x5_iid100,,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_100_500_mixing/graphene_5x5_scale_iid100,100,graphene_5x5_scale_iid100,0.0,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_100_500_mixing/graphene_5x5_scale_iid100/frozen_split_manifest.json,0.0,graphene_5x5_scale_iid100,Graphene 5x5 IID scale: 100 snapshots,2,"{""test"": 10, ""train"": 78, ""validation"": 10}",blocked_with_gap,benchmark_ready,1,existing_5x5_dataset
joint_graph2mat_deeph_artifact_contract_v1,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_100_500_mixing/graphene_5x5_scale_iid150/artifact_validation.json,valid,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_100_500_mixing/graphene_5x5_scale_iid150/benchmark_dataset_manifest.json,"[{""block_id"": ""graphene_5x5_scale_iid150_T150_30_1"", ""label"": ""30 snapshots @ 150 K"", ""n_snapshots"": 30, ""seed"": 150150, ""temperature_K"": 150}, {""block_id"": ""graphene_5x5_scale_iid150_T300_90_2"", ""label"": ""90 snapshots @ 300 K"", ""n_snapshots"": 90, ""seed"": 300150, ""temperature_K"": 300}, {""block_id"": ""graphene_5x5_scale_iid150_T450_30_3"", ""label"": ""30 snapshots @ 450 K"", ""n_snapshots"": 30, ""seed"": 450150, ""temperature_K"": 450}]",graphene_5x5_iid150,,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_100_500_mixing/graphene_5x5_scale_iid150,150,graphene_5x5_scale_iid150,0.0,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_100_500_mixing/graphene_5x5_scale_iid150/frozen_split_manifest.json,0.0,graphene_5x5_scale_iid150,Graphene 5x5 IID scale: 150 snapshots,2,"{""test"": 15, ""train"": 118, ""validation"": 15}",blocked_with_gap,benchmark_ready,1,existing_5x5_dataset
joint_graph2mat_deeph_artifact_contract_v1,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_100_500_mixing/graphene_5x5_scale_iid200/artifact_validation.json,valid,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_100_500_mixing/graphene_5x5_scale_iid200/benchmark_dataset_manifest.json,"[{""block_id"": ""graphene_5x5_scale_iid200_T150_40_1"", ""label"": ""40 snapshots @ 150 K"", ""n_snapshots"": 40, ""seed"": 150200, ""temperature_K"": 150}, {""block_id"": ""graphene_5x5_scale_iid200_T300_120_2"", ""label"": ""120 snapshots @ 300 K"", ""n_snapshots"": 120, ""seed"": 300200, ""temperature_K"": 300}, {""block_id"": ""graphene_5x5_scale_iid200_T450_40_3"", ""label"": ""40 snapshots @ 450 K"", ""n_snapshots"": 40, ""seed"": 450200, ""temperature_K"": 450}]",graphene_5x5_iid200,,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_100_500_mixing/graphene_5x5_scale_iid200,200,graphene_5x5_scale_iid200,0.0,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_100_500_mixing/graphene_5x5_scale_iid200/frozen_split_manifest.json,0.0,graphene_5x5_scale_iid200,Graphene 5x5 IID scale: 200 snapshots,2,"{""test"": 20, ""train"": 158, ""validation"": 20}",blocked_with_gap,benchmark_ready,1,existing_5x5_dataset
joint_graph2mat_deeph_artifact_contract_v1,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_100_500_mixing/graphene_5x5_scale_iid300/artifact_validation.json,valid,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_100_500_mixing/graphene_5x5_scale_iid300/benchmark_dataset_manifest.json,"[{""block_id"": ""graphene_5x5_scale_iid300_T150_60_1"", ""label"": ""60 snapshots @ 150 K"", ""n_snapshots"": 60, ""seed"": 150300, ""temperature_K"": 150}, {""block_id"": ""graphene_5x5_scale_iid300_T300_180_2"", ""label"": ""180 snapshots @ 300 K"", ""n_snapshots"": 180, ""seed"": 300300, ""temperature_K"": 300}, {""block_id"": ""graphene_5x5_scale_iid300_T450_60_3"", ""label"": ""60 snapshots @ 450 K"", ""n_snapshots"": 60, ""seed"": 450300, ""temperature_K"": 450}]",graphene_5x5_iid300,,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_100_500_mixing/graphene_5x5_scale_iid300,300,graphene_5x5_scale_iid300,0.0,/home/christian/repositorios/MD_vs_AtomicDisplacement/Comparison/datasets/graphene_5x5_snapshot_scaling_100_500_mixing/graphene_5x5_scale_iid300/frozen_split_manifest.json,0.0,graphene_5x5_scale_iid300,Graphene 5x5 IID scale: 300 snapshots,2,"{""test"": 30, ""train"": 238, ""validation"": 30}",blocked_with_gap,benchmark_ready,1,existing_5x5_dataset
