method,N_train,h_mae_meV,h_rmse_meV,low_energy_rmse_meV,dos_mae_fermi_window,relative_frobenius,gpu_hours,samples_per_s,peak_gpu_mem_mb,diagnostic_only,status
graph2mat,20,9.5852,30.0504,202.265,1.15774,0.02789,0.0685,0.0643,5186.0,False,valid
graph2mat,30,9.291,29.4685,186.606,0.90474,0.02734,0.0708,0.0983,7286.0,False,valid
graph2mat,50,8.5639,28.4194,161.287,0.87542,0.02637,0.085,0.1403,10254.0,False,valid
graph2mat,60,9.1392,29.0071,183.537,0.86222,0.02693,0.0782,0.1824,10268.0,False,valid
graph2mat,80,8.6996,28.0619,17.796,0.88265,0.02607,0.1299,0.1495,11566.0,False,valid
graph2mat,90,7.5313,26.984,120.321,0.88111,0.02507,0.1483,0.1474,10260.0,False,valid
graph2mat,100,9.4265,29.3046,235.62,0.95045,0.02723,0.1295,0.1871,10262.0,False,valid
graph2mat,150,9.8023,30.0892,209.283,0.84683,0.02795,0.0959,0.3837,10232.0,False,valid
graph2mat,200,8.2492,27.3433,78.521,0.96684,0.0254,0.1402,0.3515,11566.0,False,valid
graph2mat,300,4.9533,15.4531,73.906,0.6191,0.01436,0.4295,0.1731,11590.0,False,valid
graph2mat,400,2.398,7.0959,79.596,0.38972,0.00659,0.5843,0.17,11592.0,False,valid
graph2mat,500,7.7012,26.9687,78.675,0.90631,0.02506,0.2322,0.5352,11538.0,False,valid
graph2mat,600,7.5991,26.9988,142.504,0.89061,0.02509,0.3149,0.4741,11580.0,False,valid
graph2mat,800,2.0566,6.6701,73.51,0.42171,0.0062,1.057,0.1886,11610.0,False,valid
graph2mat,1000,1.5803,5.4139,42.307,0.34924,0.00503,0.9877,0.2522,11566.0,False,valid
deeph,20,18.6789,41.9635,55.885,0.425,0.02732,0.0508,0.0862,10362.0,True,diagnostic_only
deeph,30,14.7944,39.508,34.004,0.41002,0.02571,0.069,0.0974,10362.0,True,diagnostic_only
deeph,50,13.2922,28.9455,68.18,0.3956,0.01885,0.1115,0.1053,10362.0,True,diagnostic_only
deeph,60,8.7582,23.8943,17.575,0.39522,0.01557,0.1303,0.1083,10364.0,True,diagnostic_only
deeph,80,8.2509,24.1519,16.934,0.46939,0.01574,0.1741,0.1098,10364.0,True,diagnostic_only
deeph,90,8.9775,22.7977,17.61,0.48788,0.01486,0.1937,0.111,10368.0,True,diagnostic_only
deeph,100,8.5081,22.5314,18.412,0.42676,0.01469,0.2048,0.1179,10364.0,True,diagnostic_only
deeph,150,6.6472,15.1097,17.896,0.205,0.00985,0.2735,0.1307,10364.0,True,diagnostic_only
deeph,200,5.4613,12.8271,39.696,0.17106,0.00836,0.3885,0.1258,10364.0,True,diagnostic_only
deeph,300,4.7422,12.2349,35.266,0.14314,0.00797,0.5347,0.1348,10364.0,True,diagnostic_only
deeph,400,4.2565,10.831,9.955,0.10799,0.00706,0.8089,0.1213,10364.0,True,diagnostic_only
deeph,500,3.3638,8.4439,4.151,0.05052,0.0055,0.9602,0.1259,10364.0,True,diagnostic_only
deeph,600,2.9568,7.6249,3.922,0.04497,0.00497,1.1912,0.124,10364.0,True,diagnostic_only
deeph,800,1.6792,3.6348,9.542,0.01956,0.00237,1.4854,0.1297,10364.0,True,diagnostic_only
deeph,1000,2.9371,7.2698,10.718,0.03972,0.00474,1.3766,0.1755,10362.0,True,diagnostic_only
